DISCIPLINA,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63
MCTD022-18,-0.10969885,0.09644247,0.14242749,0.05790791,-0.022469979,-0.1280777,0.20562647,-0.045623433,0.074020624,0.014224069,0.17487362,0.24536246,0.26263124,-0.18872644,-0.10171638,0.08393852,-0.045403313,0.12432735,0.33053464,0.27257383,-0.25023434,0.09849847,0.16944484,-0.39564547,-0.061082006,0.25454304,-0.09994694,0.06043322,0.25788084,0.054614566,0.15545475,0.2805558,-0.5356276,-0.03777836,0.0124432575,0.053202603,-0.042861197,0.31065986,0.20564257,-0.023404676,0.41174582,0.12954909,0.10143498,-0.009476255,0.060936015,0.036274474,0.13519847,-0.37149203,-0.22299553,0.09398823,0.2946015,0.00543079,-0.011868189,0.17086735,0.08856652,-0.026890188,-0.01245289,-0.013144915,0.07708532,-0.2540003,0.06394695,-0.2115556,-0.13215524,0.062306143
MCCC001-23,-0.071057945,-0.19256198,-0.023995258,-0.10864038,0.20850709,-0.23558246,0.1832393,-0.1611348,0.11833097,0.1771503,-0.002159803,0.27475417,0.27098992,-0.28722778,-0.07934422,0.2309735,0.022661358,0.42804787,0.48529214,0.59123063,-0.1076158,0.042983327,0.26892442,-0.2036697,-0.032912616,0.15947218,-0.052967623,-0.03977876,0.3658226,0.03795717,0.4109726,0.38844034,-0.51348346,0.09866093,-0.10700174,0.08527042,0.021025086,0.2008618,0.50996536,0.20691021,0.55488133,-0.009525802,0.22727509,0.061018467,-0.18877421,0.1632348,0.35304144,-0.24996279,-0.11289207,-0.00685666,0.05573468,-0.19094223,0.1343457,0.18414073,-0.10836693,-0.0005392284,0.115016654,0.16444986,0.36819258,-0.5096388,0.2387856,-0.18128903,-0.1980365,0.2597485
MCCC002-23,-0.056040175,-0.3116564,-0.050751187,-0.16910538,0.31010318,-0.31630594,0.26383,-0.22054954,0.15302004,0.23488641,-0.028964395,0.38069013,0.38783893,-0.43697432,-0.09473177,0.34556484,0.015565966,0.5933052,0.6873971,0.8666962,-0.17038518,0.037546605,0.35092658,-0.30045944,-0.05592432,0.20971368,-0.060278866,-0.050905105,0.52803683,0.046177104,0.58108747,0.5645821,-0.7313833,0.13243383,-0.12967154,0.11185866,-0.023128185,0.29097044,0.72449505,0.30507186,0.81184393,-0.008170183,0.35584795,0.08576499,-0.26032206,0.22366814,0.53648746,-0.39253128,-0.166085,0.03070657,0.068666555,-0.25115532,0.20651388,0.22629145,-0.15564983,-0.013634351,0.22099154,0.27406248,0.5805792,-0.7540678,0.29217133,-0.2650144,-0.2285151,0.39544615
MCCC003-23,-0.10477578,-0.43153465,-0.016386645,-0.27299288,0.4487504,-0.46569613,0.25752574,-0.27324054,0.19803281,0.31741962,0.06903989,0.5416156,0.5763215,-0.5536728,-0.1892588,0.5426597,0.14267956,0.8175797,0.9267178,1.1256055,-0.15648863,0.113884695,0.56488675,-0.5074531,-0.059761055,0.31696597,-0.09240318,-0.12508288,0.7152401,0.12716316,0.75976616,0.7789446,-1.030474,0.25447685,-0.21565846,0.15151206,0.046050258,0.33528534,1.0302868,0.38779202,1.1015419,0.027726617,0.44643623,0.1546365,-0.3898862,0.31816941,0.7171566,-0.5746115,-0.24823567,-0.018765986,0.20010172,-0.38257173,0.25079632,0.33793274,-0.19716951,0.0030904335,0.19443016,0.33786422,0.70474875,-1.0267524,0.45182756,-0.3332034,-0.3291846,0.5486621
MCZA035-17,-0.08247695,0.026015427,0.03987039,0.003000308,0.038765855,-0.07142384,0.10244404,-0.029056346,0.03195631,0.0065134363,0.04939066,0.10399688,0.14126521,-0.14615834,-0.04982844,0.04122069,-0.045705676,0.10219333,0.20295915,0.20973386,-0.108791456,0.032624252,0.12414372,-0.18776497,-0.06963224,0.13536893,-0.056566145,0.028527442,0.1629521,0.059645846,0.11800275,0.17685315,-0.27639794,-0.011206351,-0.019603986,0.01771252,-0.053685926,0.13654818,0.1627328,0.048093192,0.24774103,0.029116366,0.07590041,0.0014128024,0.011525997,0.021629864,0.10391019,-0.20208612,-0.095469214,0.02890876,0.13872176,-0.0105087375,0.019837802,0.1107604,0.0056031602,0.0010554583,0.00026467396,-0.007648009,0.08733792,-0.18435705,0.064567134,-0.095579684,-0.068508595,0.07416687
ESZR003-21,-0.008048296,-0.014122449,-0.009447981,-0.00028981455,-0.0007448327,-0.0031710435,-0.0038878527,0.0015053041,-0.0013873838,-0.00613497,-0.005099248,-0.009698896,0.013433093,0.012938002,-0.0037388578,0.011690006,-0.0046851113,0.004917005,-0.0049881265,-0.0013195891,-0.007090017,-0.0008536428,-0.011458423,-0.015579194,-0.008773863,0.013938131,0.012185024,0.0014374405,0.00862438,-0.01393359,-0.0038814992,-0.010968262,0.013309434,-0.011297043,0.014078181,0.014134655,0.011015197,-0.004245013,0.013021059,-0.012103867,-0.003909651,0.0047673266,-0.006622957,-0.005735675,0.0015702434,0.010643916,-0.00416887,0.008218484,-9.832345e-05,0.0025461484,0.011547221,-0.014129354,-0.001081055,-0.0075985733,0.009665204,0.0020598602,-0.0025557112,0.007823059,0.0043612756,-0.004913494,0.0030292124,0.005886063,0.009215869,-0.012309762
LHZ0002-19,-0.0051404685,-0.008335426,-0.0059476867,0.005193319,0.0121665895,-0.004300425,0.0024569724,0.010112215,0.01057199,0.0072307065,-0.0038180463,-0.00024433434,0.0023129433,-0.013294544,-0.008961696,-0.00412165,0.002019681,0.008262154,-0.015529957,-0.0053584594,0.0020634662,0.009008208,0.0074068382,-0.010265939,-0.010002127,0.006741941,-0.011189515,0.004310148,0.012637794,0.010802245,0.011792524,0.014835479,0.0018795356,-0.014841067,0.008405399,0.0056886505,-0.0067918226,0.0075349323,-0.010111505,-0.0053216256,-0.01374048,0.007613126,0.0032242667,0.013624568,-0.00035485066,0.0135966,0.009280417,-0.013912015,0.007858532,0.0051804706,-0.00045421906,0.0045498703,-0.003963357,0.0061745755,0.00037300214,0.007976685,-0.014561726,0.0021937024,0.014623335,0.010395054,-0.013316818,-0.013623662,0.01184709,-0.005206788
MCZB001-13,-0.044197757,0.03833171,0.029645886,0.02490252,0.009816743,-0.032046836,0.036884204,-0.011029472,0.008291581,0.007925054,0.03328474,0.034927506,0.07916745,-0.063151695,-0.041699138,0.0052470886,-0.0030094092,0.055460457,0.0904696,0.08707334,-0.07877427,0.021951726,0.052759834,-0.113563135,-0.052503407,0.07130459,-0.026400112,0.016901635,0.106895745,0.04810606,0.08098077,0.07355588,-0.15492359,-0.02006693,-0.004408908,0.010917595,-0.05710782,0.08850793,0.06581539,0.0055324747,0.11554384,0.0053883493,0.024604267,0.020949485,0.0058526546,-0.007923794,0.054696117,-0.101699635,-0.056018163,0.019125314,0.092821375,-0.0076972544,0.0044662943,0.052483138,0.0028574304,-0.04025971,0.008981431,-0.010605251,0.034739662,-0.07742261,0.015012058,-0.024570089,-0.045286097,0.028757012
ESZT001-17,0.0033051167,0.011135731,0.012861481,0.015157808,0.006593019,0.0017998945,0.0127128605,-0.004964767,-0.002250133,-0.010900781,-0.013654513,0.008448364,0.0044789948,-0.00765164,0.0005603172,0.002683647,-0.011498362,0.011709379,0.010106623,-0.011177754,0.012410171,0.011273449,0.009349408,0.014307892,0.01420459,0.014821364,0.0034114607,0.0076676738,-0.0108250305,-0.008386806,0.009713957,0.0030361228,-0.0116958935,0.015380748,-0.01197388,0.004769452,-0.0012694839,-0.00859924,-0.014971903,-0.013017062,-0.013353372,-0.0094290525,0.0073770825,0.00060237385,0.014494041,-0.012781395,0.002627559,0.00044219755,0.012512835,0.002588816,-0.010921476,-0.0073500946,-0.01193464,-0.007961076,-0.0022861697,-0.0068265013,-0.0052164495,-0.0062517654,-0.01070042,-0.0135901775,-0.004097484,-0.0019134916,0.0046126302,0.01063285
MCCC004-23,-0.11351612,-0.46589717,-0.01147483,-0.28649452,0.42952922,-0.48460418,0.28174505,-0.27962604,0.21603905,0.29031006,0.04469818,0.5148576,0.5671011,-0.5848871,-0.17449614,0.5528276,0.15466408,0.8119705,0.9693562,1.1485283,-0.17717238,0.12457685,0.591983,-0.51586205,-0.041775562,0.31829345,-0.10392744,-0.12942304,0.7172593,0.16710545,0.8068069,0.7880922,-1.0593389,0.28313673,-0.21356511,0.15270318,0.050542217,0.35812783,1.0559949,0.44699767,1.1462785,0.004240454,0.4852334,0.15504354,-0.38694307,0.30472714,0.7517134,-0.561237,-0.24872929,-0.03777026,0.20584962,-0.4021798,0.24002787,0.35202,-0.21171421,0.028608648,0.22256488,0.38201025,0.72470933,-1.0435038,0.46796945,-0.35285082,-0.36976057,0.5897273
