data_autuacao	cod_disciplina_ufabc_edit	disciplina_ufabc_edit	ch_disciplina_ufabc_edit	disciplina_fora	disciplina 1	disciplina 2	disciplina 3	disciplina 4	disciplina 5	disciplina 6	disciplina 7	disciplina 8	disciplina 9	Parecer
2024.3	ESHP009-13	GOVERNO, BUROCRACIA E ADMINISTRAÇÃO PÚBLICA	48h	XXXX / CONTROLE INTERNO E EXTERNO NA ADMINISTRAÇÃO PUBLICA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / CONTROLE INTERNO E EXTERNO NA ADMINISTRAÇÃO PUBLICA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	ESHT009-17	HISTÓRIA DA CIDADE E DO URBANISMO	48h	XXXX / ORGANIZAÇÃO MUNICIPAL E POLITICA URBANA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / ORGANIZAÇÃO MUNICIPAL E POLITICA URBANA / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	BIN0406-15	INTRODUÇÃO À PROBABILIDADE E À ESTATÍSTICA	36h	XXXX / MATEMATICA E ESTATISTICA APLICADA A GESTÃO PÚBLICA / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / MATEMATICA E ESTATISTICA APLICADA A GESTÃO PÚBLICA / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	ESHP012-13	INTRODUÇÃO AO DIREITO ADMINISTRATIVO	48h	XXXX / DIREITO ADMINISTRATIVO E TRIBUTARIO / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / DIREITO ADMINISTRATIVO E TRIBUTARIO / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	ESHP013-13	INTRODUÇÃO AO DIREITO CONSTITUCIONAL	48h	XXXX / DIREITO CONSTITUCIONAL / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / DIREITO CONSTITUCIONAL / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Deferido
2024.3	ESHT015-17	OFICINA DE PLANEJAMENTO URBANO	48h	XXXX / PLANEJAMENTO URBANO / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / PLANEJAMENTO URBANO / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	ESHP018-14	POLÍTICAS SOCIAIS	48h	XXXX / GESTAO DE POLITICA SOCIAL / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / GESTAO DE POLITICA SOCIAL / 72H / 2019 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	BCM0505-15	PROCESSAMENTO DA INFORMAÇÃO	60h	XXXX / SISTEMAS DE INFORMAÇÕES GERENCIAIS / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER	XXXX / SISTEMAS DE INFORMAÇÕES GERENCIAIS / 72H / 2018 / CENTRO UNIVERSITÁRIO INTERNACIONAL UNINTER									Indeferido
2024.3	BHP0001-15	ÉTICA E JUSTIÇA	48h	DCV0312 / DIREITOS REAIS / 45H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DCV0312 / DIREITOS REAIS / 45H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DCV0411 / DIREITO DE FAMILIA / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO	DFD0312 / FILOSOFIA DO DIREITO II (PARTE ESPECIAL) / 45H / 2015.2 / UNIVERSIDADE DE SÃO PAULO	DPC0153 / TUTELA JURISDICIONAL DOS INTERESSES TRANSINDIVIDUAIS / 30H / 2016.1 / UNIVERSIDADE DE SÃO PAULO	DPM0512 / TEMAS FUNDAMENTAIS DO DIREITO PENAL I / 30H / 2016.1 / UNIVERSIDADE DE SÃO PAULO	DPM0517 / CRIMINOLOGIA CLÍNICA E EXECUÇÃO PENAL / 30H / 2016.2 / UNIVERSIDADE DE SÃO PAULO	DTB0319 / CENTRALIDADE DO TRABALHO E LEITURA DOS DIREITOS FUNDAMENTAIS INDIVIDUAIS I / 45H / 2016.1 / UNIVERSIDADE DE SÃO PAULO	DTB0414 / DIREITO PROCESSUAL DO TRABALHO: TEORIA GERAL DO PROCESSO DO TRABALHO / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO		Deferido
2024.3	BHO1102-19	INTRODUÇÃO À ECONOMIA	36h	DCO0316 / REGULAÇÃO, CONCORRÊNCIA E MERCADO / 30H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DCO0316 / REGULAÇÃO, CONCORRÊNCIA E MERCADO / 30H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DCO0317 / FUNDAMENTOS DOS CONTRATOS EMPRESARIAIS E DAS DECLARAÇÕES UNILATERAIS DE VONTADE (FUNDAMENTOS DOS TÍTULOS DE CRÉDITO) / 45H / 2015.2 / UNIVERSIDADE DE SÃO PAULO	DCO0411 / CONTRATOS EMPRESARIAIS E TÍTULOS DE CRÉDITO EM ESPÉCIE / 30H / 2016.1 / UNIVERSIDADE DE SÃO PAULO	DCO0412 / DIREITO DAS EMPRESAS EM CRISE I: OS FUNDAMENTOS E O INSTITUTO DA RECUPERAÇÃO / 30H / 2016.2 / UNIVERSIDADE DE SÃO PAULO	DEF0314 / DIREITO URBANÍSTICO / 30H / 2014.2 / UNIVERSIDADE DE SÃO PAULO	DEF0416 / DIREITO TRIBUTÁRIO I / 45H / 2015.1 / UNIVERSIDADE DE SÃO PAULO	DEF0417 / DIREITO TRIBUTÁRIO II / 45H / 2015.2 / UNIVERSIDADE DE SÃO PAULO	DEF0418 / DIREITO ECONÔMICO I / 45H / 2015.2 / UNIVERSIDADE DE SÃO PAULO	DEF0511 / DIREITO ECONÔMICO DA INFRAESTRUTURA / 45H / 2016.1 / UNIVERSIDADE DE SÃO PAULO	Deferido
